0.3217,0.4715,-0.0590
0.3217,0.4715,-0.0590
0.3217,0.4548,0.1369
0.3217,0.4968,-0.1033
0.3217,0.5388,-0.3434
0.3217,0.5581,-0.3158
0.3217,0.5773,-0.2881
0.3217,0.6870,-0.1728
0.3387,0.8573,-0.0576
0.3558,0.8993,-0.2573
0.2116,0.8742,-0.0463
0.0675,0.9410,0.1996
-0.0766,0.9338,0.1060
-0.2207,1.0251,0.2993
-0.2207,1.0353,0.4446
-0.1889,1.1301,0.3677
-0.1571,1.2249,0.2908
-0.1253,1.2460,0.3076
-0.0934,1.2836,0.1892
-0.1148,1.2946,0.2916
-0.1890,1.2327,0.2901
-0.1810,1.2051,0.3123
-0.2522,1.2008,0.4637
-0.1347,1.1403,0.3198
-0.0172,1.0798,0.1759
0.1041,1.0690,0.1775
0.2954,1.0278,-0.0465
0.4866,0.9866,-0.2705
0.3484,0.9624,-0.2956
0.5559,0.8679,-0.2441
0.2854,0.8185,-0.1926
0.0666,0.8889,-0.1411
-0.1521,0.9592,-0.0896
-0.1004,0.9769,-0.0381
-0.0487,0.9946,0.0134
-0.0731,0.6175,0.0649
-0.1626,0.5648,0.1164
-0.2522,0.5121,0.1679
-0.1308,0.4377,0.2195
-0.2832,0.3618,0.2710
-0.5609,0.2329,0.3980
-0.5087,0.3411,0.5250
-0.4652,0.3212,0.6520
-0.2078,0.3990,0.5962
-0.4110,0.3795,0.6305
-0.6141,0.3600,0.6647
-0.5353,0.3792,0.6990
-0.6109,0.3569,0.7332
-0.6864,0.3501,0.9058
-0.6214,0.3672,0.9219
-0.6567,0.2724,0.7719
-0.5180,0.1958,0.6219
-0.3793,0.2212,0.4961
-0.2407,0.1912,0.4880
-0.1020,0.1889,0.3055
-0.0456,0.2079,0.3025
0.0372,0.1860,0.1573
0.1200,0.2434,-0.0837
-0.0015,0.1373,-0.1109
-0.1230,0.1052,-0.0937
0.0620,0.2607,0.0621
0.1701,0.2517,-0.1920
0.2782,0.2427,-0.4461
0.3094,0.2259,-0.5815
0.3406,0.2248,-0.3618
0.3718,0.2699,-0.4378
0.4030,0.3150,-0.5139
0.4342,0.1999,-0.5955
0.4654,0.2344,-0.4400
0.4966,0.2421,-0.5687
0.5278,0.2244,-0.6559
0.6850,0.4141,-0.6813
0.8265,0.3229,-0.6677
0.5387,0.3893,-0.5827
0.5920,0.3164,-0.5849
0.6181,0.2468,-0.6110
0.6499,0.2349,-0.5866
0.6460,0.2490,-0.4198
0.6834,0.2097,-0.6532
0.7208,0.1704,-0.8866
0.7232,0.2805,-0.7895
0.7007,0.4072,-0.6924
0.5554,0.3092,-0.3736
0.4101,0.2113,-0.0548
0.3580,0.2375,-0.0550
0.1997,0.1920,0.0769
0.0415,0.1465,0.2088
-0.0529,0.0000,0.1491
-0.2696,0.0698,0.2537
-0.2761,0.0672,0.2536
-0.4916,0.1313,0.4401
-0.6276,0.1724,0.6267
-0.6819,0.2129,0.8133
-0.7509,0.2475,0.9998
-0.6731,0.2456,0.8177
-0.5952,0.2436,0.6356
-0.6510,0.1938,0.6175
-0.6579,0.2257,0.9116
-0.9273,0.1258,0.6427
-0.6804,0.2449,0.6622
-0.6702,0.2813,0.6816
-0.5597,0.3021,0.6895
-0.4493,0.2798,0.6132
-0.3389,0.2575,0.5369
-0.2284,0.4275,0.3872
-0.2411,0.3309,0.4009
-0.2538,0.3902,0.2632
-0.2665,0.3167,0.2507
-0.2792,0.2432,0.2381
-0.2919,0.2274,0.3144
-0.3046,0.2127,0.4474
-0.3173,0.1980,0.5805
-0.3299,0.1846,0.5800
-0.3426,0.1758,0.7366
-0.3553,0.1753,0.7654
-0.3680,0.1738,0.5189
-0.4278,0.2396,0.5191
-0.4875,0.3641,0.6096
-0.6029,0.3787,0.7002
-0.5987,0.4536,0.7907
-0.4728,0.2012,0.6237
-0.3432,0.1969,0.5411
-0.2136,0.1926,0.4584
-0.1574,0.2098,0.3651
-0.0612,0.3555,0.2849
-0.0153,0.3279,0.2158
0.0025,0.2011,0.1499
0.3272,0.3668,0.0304
0.6024,0.4548,-0.1563
0.3393,0.3782,-0.3430
0.3638,0.3942,-0.5296
0.4547,0.4378,-0.2226
0.4238,0.3020,0.0424
0.4169,0.4548,-0.2133
0.3015,0.5117,-0.2425
0.3644,0.4705,-0.2718
